date,open,high,low,close,adj_close,volume
2024-07-11,704.44,704.44,688.75,690.77,690.77,9718010
2024-07-12,695.4,700.18,687.26,696.13,696.13,10688330
2024-07-15,697.7,704.15,695.24,702.04,702.04,5333730
2024-07-16,703.66,704.65,696.22,701.58,701.58,5582000
2024-07-18,700.39,707.42,692.84,706.64,706.64,8646050
2024-07-19,706.64,706.64,686.76,688.98,688.98,9385980
2024-07-22,688.95,691.59,680.74,684.2,684.2,5751930
2024-07-23,689.15,690.23,657.94,668.58,668.58,19322120
2024-07-24,658.93,661.39,650.09,656.66,656.66,31006260
2024-07-25,651.98,662.51,651.13,660.7,660.7,9509650
2024-07-26,663.41,676.66,662.62,674.81,674.81,11101840
2024-07-29,678.2,681.3,672.43,677.07,677.07,7485650
2024-07-30,677.07,685.67,674.14,678.18,678.18,11794130
2024-07-31,678.51,681.3,675.13,676.52,676.52,8896590
2024-08-01,678.96,680.2,670.86,673.01,673.01,8395230
2024-08-02,668.38,670.86,663.22,668.38,668.38,6222180
2024-08-05,660.92,660.92,649.25,655.62,655.62,9440410
2024-08-06,658.54,665.59,647.16,649.83,649.83,8918280
2024-08-07,655.95,661.85,654.07,659.64,659.64,4642840
2024-08-08,658.44,663.71,653.1,654.18,654.18,6903890
2024-08-09,665.89,665.89,655.06,657.76,657.76,6994900
2024-08-12,657.85,660.42,652.38,656.76,656.76,6748870
2024-08-13,660.42,660.42,641.26,642.54,642.54,10723270
2024-08-14,644.27,645.01,639.15,641.89,641.89,7742760
2024-08-16,646.51,655.95,638.56,655.05,655.05,7534190
2024-08-19,659.73,661.52,655.32,657.58,657.58,5287300
2024-08-20,660.66,673.24,657.58,668.1,668.1,9571590
2024-08-21,668.07,670.59,665.39,669.4,669.4,6331110
2024-08-22,670.86,672.35,668.27,670.22,670.22,7282600
2024-08-23,671.36,672.05,666.38,669.45,669.45,6180450
2024-08-26,673.44,677.72,671.46,673.68,673.68,8983430
2024-08-27,673.68,683.12,668.87,682.15,682.15,20359020
2024-08-28,683.38,687.46,681.0,685.77,685.77,8489860
2024-08-29,684.68,711.41,683.93,702.02,702.02,26391590
2024-08-30,702.77,717.08,702.77,715.6,715.6,20443670
2024-09-02,722.94,740.43,718.47,739.44,739.44,22963780
2024-09-03,741.43,741.43,716.19,730.87,730.87,18986560
2024-09-04,721.05,733.18,720.08,725.47,725.47,8867460
2024-09-05,727.51,728.17,714.89,720.05,720.05,6734470
2024-09-06,721.11,734.96,721.11,727.23,727.23,18428270
2024-09-09,727.91,733.27,721.83,730.24,730.24,8789380
2024-09-10,732.48,732.48,714.89,719.74,719.74,13089320
2024-09-11,720.55,738.64,716.21,730.05,730.05,11048900
2024-09-12,737.45,739.44,725.19,738.27,738.27,14467640
2024-09-13,738.27,761.3,730.69,755.19,755.19,22084380
2024-09-16,763.29,763.29,727.71,730.07,730.07,26795550
2024-09-17,729.25,740.93,724.15,732.03,732.03,15677860
2024-09-18,734.19,762.54,733.32,758.43,758.43,29749930
2024-09-19,762.79,770.05,751.36,754.38,754.38,17206440
2024-09-20,758.82,760.81,744.13,753.59,753.59,16450040
2024-09-23,757.9,758.91,748.55,754.85,754.85,5734970
2024-09-24,755.04,755.68,743.8,750.79,750.79,10695400
2024-09-25,749.87,759.31,745.21,757.71,757.71,12720380
2024-09-26,759.31,773.17,754.1,772.08,772.08,16681650
2024-09-27,773.23,776.21,766.37,770.84,770.84,11781310
2024-09-30,769.85,777.6,762.91,765.58,765.58,9619520
2024-10-01,761.31,776.67,760.41,765.58,765.58,7882880
2024-10-03,756.33,765.28,733.57,738.83,738.83,10406620
2024-10-04,737.45,738.44,711.11,716.71,716.71,17681110
2024-10-07,716.71,727.91,714.62,722.48,722.48,9362270
2024-10-08,722.03,725.07,711.61,714.29,714.29,9038050
2024-10-09,717.17,738.13,716.19,725.57,725.57,10543750
2024-10-10,727.51,732.28,722.84,727.48,727.48,5594270
2024-10-11,728.01,728.5,718.17,725.72,725.72,3615870
2024-10-14,724.8,726.9,715.58,716.46,716.46,4451810
2024-10-15,720.05,721.17,693.62,697.39,697.39,14855670
2024-10-16,696.7,701.61,687.76,691.37,691.37,11256980
2024-10-17,693.81,695.59,682.89,685.72,685.72,6897550
2024-10-18,685.07,689.61,677.89,685.72,685.72,7449290
2024-10-21,686.67,690.81,667.61,673.93,673.93,22099660
2024-10-22,675.83,679.11,660.29,663.69,663.69,17006190
2024-10-23,656.52,705.53,656.05,695.29,695.29,26373910
2024-10-24,696.95,707.92,694.77,699.77,699.77,8951250
2024-10-25,699.77,701.67,685.1,686.78,686.78,10223240
2024-10-28,687.76,700.18,683.28,686.9,686.9,7149810
2024-10-29,686.67,701.67,676.05,697.94,697.94,14097500
2024-10-30,695.61,697.74,688.95,691.23,691.23,5660440
2024-10-31,690.64,692.81,683.76,684.75,684.75,7301530
2024-11-01,688.75,690.2,685.97,688.11,688.11,450110
2024-11-04,693.22,693.22,671.15,680.17,680.17,7162390
2024-11-05,680.3,697.19,667.08,688.78,688.78,12234300
2024-11-06,689.25,698.1,685.0,696.32,696.32,6962620
2024-11-07,696.32,699.58,682.79,686.22,686.22,4590470
2024-11-08,686.22,690.89,679.9,685.37,685.37,4248400
2024-11-11,681.79,686.19,671.07,673.72,673.72,7623160
2024-11-12,677.72,679.49,657.44,659.75,659.75,10572330
2024-11-13,659.43,666.11,648.66,652.57,652.57,8673470
2024-11-14,653.2,659.87,649.0,650.9,650.9,5277030
2024-11-18,659.23,661.62,651.48,652.77,652.77,5965350
2024-11-19,655.39,660.4,652.08,655.49,655.49,8040460
2024-11-21,657.34,657.34,641.14,642.6,642.6,11010800
2024-11-22,643.03,668.12,641.65,664.3,664.3,9698550
2024-11-25,674.83,682.09,662.64,664.44,664.44,11327510
2024-11-26,668.08,669.85,656.79,657.74,657.74,6632780
2024-11-27,660.92,669.2,657.17,666.41,666.41,6420100
2024-11-28,667.28,668.5,645.52,646.95,646.95,15768820
2024-11-29,647.9,656.85,647.04,653.56,653.56,7096430
2024-12-02,655.46,662.41,645.12,660.99,660.99,9202490
2024-12-03,665.51,668.12,659.01,663.45,663.45,13136660
2024-12-04,666.07,672.29,662.6,669.87,669.87,11304410
2024-12-05,671.85,684.76,664.45,680.84,680.84,13482430
2024-12-06,683.38,689.25,673.71,680.83,680.83,8332070
2024-12-09,680.81,688.25,678.6,682.62,682.62,8409100
2024-12-10,684.26,691.62,680.21,689.37,689.37,12045630
2024-12-11,691.72,712.11,685.08,707.15,707.15,19931040
2024-12-12,707.82,710.46,703.16,708.21,708.21,9667960
2024-12-13,705.55,717.3,693.78,713.88,713.88,12504360
2024-12-16,713.88,720.35,711.22,716.42,716.42,7960740
2024-12-17,715.58,721.29,706.64,710.89,710.89,10318560
2024-12-18,710.52,713.48,701.71,703.11,703.11,7275140
2024-12-19,690.74,698.14,684.56,687.61,687.61,9076750
2024-12-20,687.1,698.09,676.3,680.63,680.63,27000190
2024-12-23,685.47,693.41,681.39,682.46,682.46,5829280
2024-12-24,683.98,686.76,675.23,676.64,676.64,6014270
2024-12-26,678.85,681.59,675.83,677.4,677.4,3290960
2024-12-27,680.49,693.39,678.85,686.54,686.54,5554180
2024-12-30,685.77,695.21,682.29,684.6,684.6,4908760
2024-12-31,682.78,683.48,675.03,678.12,678.12,6153980
2025-01-01,678.12,690.53,676.43,689.28,689.28,4187210
2025-01-02,693.72,738.44,692.82,734.39,734.39,31716510
2025-01-03,734.44,745.4,731.41,736.18,736.18,15059280
2025-01-06,745.4,755.33,727.19,730.43,730.43,19059760
2025-01-07,730.98,740.12,725.67,730.89,730.89,10425380
2025-01-08,731.67,734.31,721.22,731.03,731.03,8444660
2025-01-09,729.34,731.03,719.16,723.28,723.28,6681410
2025-01-10,723.28,732.19,720.06,724.34,724.34,8089630
2025-01-13,719.56,721.06,709.02,710.71,710.71,6642740
