date,open,high,low,close,adj_close,volume
2024-07-11,3237.21,3248.97,3220.31,3238.85,3238.85,
2024-07-12,3256.2,3259.19,3210.39,3220.16,3220.16,
2024-07-15,3232.02,3242.64,3195.78,3214.53,3214.53,
2024-07-16,3218.26,3241.25,3214.43,3224.35,3224.35,
2024-07-18,3223.25,3259.29,3196.38,3252.31,3252.31,
2024-07-19,3252.26,3269.16,3225.29,3249.22,3249.22,
2024-07-22,3240.25,3263.58,3213.53,3244.69,3244.69,
2024-07-23,3245.33,3479.53,3222.45,3456.45,3456.45,
2024-07-24,3459.59,3541.84,3451.76,3467.96,3467.96,
2024-07-25,3404.75,3444.04,3374.3,3395.58,3395.58,
2024-07-26,3395.58,3491.19,3382.82,3483.67,3483.67,
2024-07-29,3484.51,3489.05,3377.83,3401.46,3401.46,
2024-07-30,3414.67,3468.56,3400.37,3457.84,3457.84,
2024-07-31,3468.61,3489.4,3436.21,3448.57,3448.57,
2024-08-01,3464.57,3481.52,3432.17,3457.94,3457.94,
2024-08-02,3404.75,3467.46,3399.77,3451.96,3451.96,
2024-08-05,3310.09,3448.62,3306.55,3365.82,3365.82,
2024-08-06,3370.81,3406.1,3311.14,3325.09,3325.09,
2024-08-07,3349.92,3358.74,3307.1,3316.27,3316.27,
2024-08-08,3326.99,3349.87,3274.05,3286.61,3286.61,
2024-08-09,3339.95,3339.95,3275.24,3321.7,3321.7,
2024-08-12,3321.65,3334.96,3285.46,3310.89,3310.89,
2024-08-13,3320.01,3394.53,3295.48,3373.4,3373.4,
2024-08-14,3379.83,3405.95,3346.78,3391.94,3391.94,
2024-08-16,3399.77,3439.75,3360.09,3434.41,3434.41,
2024-08-19,3425.89,3493.69,3425.89,3454.45,3454.45,
2024-08-20,3469.56,3472.65,3444.04,3464.47,3464.47,
2024-08-21,3464.47,3571.25,3444.18,3549.72,3549.72,
2024-08-22,3564.22,3614.12,3543.04,3593.59,3593.59,
2024-08-23,3600.61,3611.98,3533.37,3559.29,3559.29,
2024-08-26,3581.22,3629.08,3563.33,3619.31,3619.31,
2024-08-27,3619.31,3647.82,3519.91,3540.59,3540.59,
2024-08-28,3548.97,3569.21,3509.34,3516.92,3516.92,
2024-08-29,3526.39,3543.09,3499.47,3522.6,3522.6,
2024-08-30,3539.35,3587.2,3531.87,3554.45,3554.45,
2024-09-02,3554.45,3591.14,3541.34,3576.79,3576.79,
2024-09-03,3576.79,3623.99,3549.47,3610.28,3610.28,
2024-09-04,3575.34,3606.65,3557.49,3596.88,3596.88,
2024-09-05,3605.75,3742.69,3589.6,3711.68,3711.68,
2024-09-06,3703.8,3730.77,3654.0,3684.41,3684.41,
2024-09-09,3679.03,3713.28,3642.79,3673.49,3673.49,
2024-09-10,3692.89,3738.75,3655.0,3716.22,3716.22,
2024-09-11,3720.7,3732.27,3689.0,3699.97,3699.97,
2024-09-12,3724.79,3762.68,3699.97,3752.96,3752.96,
2024-09-13,3765.67,3788.45,3728.78,3755.7,3755.7,
2024-09-16,3756.69,3777.63,3724.19,3729.43,3729.43,
2024-09-17,3748.62,3765.67,3716.12,3756.1,3756.1,
2024-09-18,3757.69,3774.64,3696.87,3714.17,3714.17,
2024-09-19,3738.75,3783.61,3729.88,3769.61,3769.61,
2024-09-20,3781.62,3807.54,3728.78,3785.81,3785.81,
2024-09-23,3785.81,3817.51,3769.66,3808.64,3808.64,
2024-09-24,3806.54,3828.38,3770.2,3773.54,3773.54,
2024-09-25,3788.6,3792.14,3698.92,3726.04,3726.04,
2024-09-26,3726.78,3765.82,3690.29,3746.28,3746.28,
2024-09-27,3762.68,3855.4,3739.94,3805.25,3805.25,
2024-09-30,3774.64,3851.96,3774.64,3812.48,3812.48,
2024-10-01,3812.48,3826.43,3745.73,3764.62,3764.62,
2024-10-03,3678.03,3770.65,3639.1,3663.92,3663.92,
2024-10-04,3614.12,3742.54,3614.12,3659.09,3659.09,
2024-10-07,3728.73,3736.75,3541.64,3578.48,3578.48,
2024-10-08,3578.48,3584.21,3469.56,3482.87,3482.87,
2024-10-09,3507.44,3548.12,3476.14,3482.97,3482.97,
2024-10-10,3499.47,3520.95,3404.85,3436.91,3436.91,
2024-10-11,3453.61,3480.53,3433.97,3463.98,3463.98,
2024-10-14,3463.98,3514.42,3442.19,3487.31,3487.31,
2024-10-15,3513.38,3518.86,3466.57,3497.97,3497.97,
2024-10-16,3497.47,3499.47,3429.68,3460.59,3460.59,
2024-10-17,3476.54,3476.54,3369.96,3393.14,3393.14,
2024-10-18,3384.81,3412.08,3286.21,3371.3,3371.3,
2024-10-21,3407.69,3409.59,3325.49,3353.16,3353.16,
2024-10-22,3364.77,3411.23,3309.29,3319.81,3319.81,
